Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster
12348.0,1658.3999999999999,5,2011-09-25 13:13:00,74,3
12349.0,3678.69,3,2011-11-21 09:51:00,18,3
12350.0,294.4,1,2011-02-02 16:01:00,309,2
12351.0,300.93,1,2010-11-29 15:23:00,374,2
12352.0,1729.54,9,2011-11-03 14:37:00,35,3
12353.0,406.76,2,2011-05-19 17:47:00,203,1
12354.0,1079.4,1,2011-04-21 13:11:00,231,1
12355.0,947.61,2,2011-05-09 13:49:00,213,1
12358.0,3447.07,5,2011-12-08 10:26:00,1,3
12360.0,3612.89,6,2011-10-18 15:22:00,51,0
12361.0,451.25,4,2011-02-25 13:51:00,286,1
12362.0,4737.23,10,2011-12-06 15:40:00,2,0
12363.0,552.0,2,2011-08-22 10:18:00,109,1
12364.0,1208.1,4,2011-12-02 10:22:00,7,1
12365.0,320.69,1,2011-02-21 13:51:00,290,2
12366.0,500.24,1,2010-03-16 10:28:00,633,2
12367.0,150.9,1,2011-12-05 16:48:00,3,1
12368.0,917.6999999999999,1,2010-03-21 15:56:00,627,2
12369.0,1511.15,3,2010-10-22 13:13:00,412,2
12370.0,3960.31,7,2011-10-19 14:51:00,50,0
12371.0,3347.38,4,2011-10-11 10:43:00,59,3
12372.0,1196.04,3,2011-09-29 12:12:00,71,1
12373.0,927.6500000000001,3,2011-02-01 13:10:00,310,2
12374.0,2669.22,3,2011-11-14 15:37:00,24,3
12375.0,377.5,2,2011-11-29 10:36:00,10,1
12376.0,383.15,2,2010-11-15 12:15:00,389,2
12377.0,3266.32,4,2011-01-28 15:45:00,314,3
12379.0,1470.22,4,2011-09-19 10:09:00,81,3
12381.0,1474.81,3,2011-12-05 12:44:00,4,1
12383.0,1628.56,5,2011-06-08 08:02:00,184,3
12384.0,425.27000000000004,2,2011-11-11 08:39:00,28,1
12385.0,1668.4,1,2010-11-25 15:14:00,378,2
12386.0,660.8,2,2011-01-06 12:37:00,337,2
12387.0,143.94,1,2010-10-20 16:27:00,414,2
12388.0,3901.11,8,2011-11-24 12:30:00,15,0
12389.0,1433.33,3,2010-11-02 11:52:00,402,2
12390.0,504.84000000000003,1,2011-09-21 09:33:00,79,1
12391.0,2773.42,6,2011-11-18 12:07:00,21,3
12392.0,234.75000000000003,1,2010-04-27 14:04:00,590,2
12393.0,2399.4500000000003,6,2011-09-28 15:41:00,71,3
12394.0,1080.48,2,2011-10-07 08:08:00,63,1
